database,type,initial retrieved unique entries,cleaned referenced structure-organism pairs,pairs validated for wikidata export,actual validated pairs on wikidata,website,article,retrieval,license status,contact,dump,status,timestamp
afrotryp,open,313,93,55,54,-,[article](https://link.springer.com/article/10.1007/s00044-016-1764-y?shared-article-renderer),[download](https://static-content.springer.com/esm/art%3A10.1007%2Fs00044-016-1764-y/MediaObjects/44_2016_1764_MOESM1_ESM.doc),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/afrotryp.md),[Fidele Ntie-Kang](https://link.springer.com/article/10.1007/s00044-016-1764-y/email/correspondent/c1/new) or [Ngozi Justina Nwodo](https://link.springer.com/article/10.1007/s00044-016-1764-y/email/correspondent/c2/new),YES,unmaintained,2021-09-20T07:35:47Z
alkamid,open,4416,2639,2309,2160,[website](http://alkamid.ugent.be),[article](http://dx.doi.org/10.1016/j.jep.2012.05.038),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/alkamid/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/alkamid.md),[Bart De Spiegeleer](mailto:Bart.DeSpiegeleer@UGent.be),NO,maintained,2021-01-07T07:08:44Z
antibase,commercial,46956,45221,-,-,-,-,-,-,-,NO,unmaintained,2021-09-20T07:40:28Z
antimarin,commercial,73017,67559,-,-,-,-,-,-,-,NO,unmaintained,2021-09-20T07:41:50Z
biofacquim,open,531,519,519,511,[website](https://biofacquim.herokuapp.com) (old version),[article_old](https://www.mdpi.com/2218-273X/9/1/31) [article_new](https://f1000research.com/articles/8-2071),[download](https://ndownloader.figshare.com/files/20050244),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/biofacquim.md),[José Medina-Franco](mailto:medinajl@unam.mx),YES,maintained,2021-09-14T15:28:05Z
biophytmol,open,543,558,322,308,[website](http://ab-openlab.csir.res.in/biophytmol),[article](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-014-0046-2),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/biophytmol/scraping.R),[license_CCBY](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/biophytmol.md),[Anshu Bhardwaj](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-014-0046-2/email/correspondent/c1/new),NO,unmaintained,2021-09-14T15:36:13Z
carotenoiddb,open,2922,639,530,485,[website](http://carotenoiddb.jp/About.html),[article](https://doi.org/10.1093/database/bax004),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/carotenoiddb/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/carotenoiddb.md),[yzjunko@gmail.com](mailto:yzjunko@gmail.com),NO,maintained,2021-01-07T07:08:45Z
coconut,open,5757872,5723691,153981,140877,[website](https://coconut.naturalproducts.net),[article](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-020-00424-9),[download](https://zenodo.org/record/3778405/files/COCONUT.sdf.zip?download=1),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/coconut.md),[Maria Sorokina](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-020-00424-9/email/correspondent/c1/new),YES,maintained,2021-09-23T21:27:39Z
cyanometdb,open,1905,1631,1621,1605,-,[article](https://doi.org/10.1016/j.watres.2021.117017),[download](https://ars.els-cdn.com/content/image/1-s2.0-S0043135421002153-mmc4.zip),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/cyanometdb.md),[elisabeth.janssen@eawag.ch](mailto:elisabeth.janssen@eawag.ch),YES,maintained,2021-09-14T13:16:33Z
datawarrior,open,589,541,71,60,[website](http://www.openmolecules.org/datawarrior/index.html),[article](https://doi.org/10.1021/ci500588j),[download](http://www.openmolecules.org/datawarrior/download.html),[no_license](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/datawarrior.md),[thomas.sander@idorsia.com](mailto:thomas.sander@idorsia.com),YES,retired,2021-01-07T07:08:45Z
